District,City,year,pm25,pm10,so2,o3,no2,co
경기도,과천,2018,23.33,41.08,0.0,0.02,0.03,0.56
경기도,과천,2019,22.17,44.42,0.0,0.02,0.03,0.61
경기도,과천,2020,18.83,39.5,0.0,0.03,0.02,0.52
경기도,과천,2021,18.17,43.33,0.0,0.03,0.02,0.53
경기도,과천,2022,17.64,32.18,0.0,0.03,0.02,0.42
경기도,광명,2015,28.06,48.5,0.0,0.02,0.03,0.6
경기도,광명,2016,26.0,52.0,0.0,0.02,0.03,0.55
경기도,광명,2017,27.17,50.17,0.0,0.03,0.03,0.52
경기도,광명,2018,25.33,45.42,0.0,0.02,0.03,0.52
경기도,광명,2019,25.75,48.0,0.0,0.03,0.03,0.54
경기도,광명,2020,21.92,41.17,0.0,0.03,0.02,0.5
경기도,광명,2021,22.0,46.67,0.0,0.03,0.02,0.51
경기도,광명,2022,20.09,37.09,0.0,0.03,0.02,0.47
경기도,광주,2015,28.06,54.92,0.01,0.02,0.03,0.69
경기도,광주,2016,28.54,52.08,0.0,0.02,0.03,0.64
경기도,광주,2017,29.67,54.82,0.0,0.02,0.03,0.61
경기도,광주,2018,27.58,44.83,0.0,0.02,0.03,0.54
경기도,광주,2019,26.33,47.92,0.0,0.02,0.03,0.54
경기도,광주,2020,22.58,40.0,0.0,0.02,0.02,0.44
경기도,광주,2021,21.0,42.25,0.0,0.03,0.02,0.48
경기도,광주,2022,19.73,35.82,0.0,0.03,0.02,0.46
경기도,구리,2015,30.67,52.18,0.0,0.03,0.03,0.5
경기도,구리,2016,33.0,59.25,0.0,0.03,0.03,0.42
경기도,구리,2017,29.58,58.17,0.0,0.03,0.03,0.41
경기도,구리,2018,23.67,42.67,0.0,0.02,0.02,0.39
경기도,구리,2019,25.33,44.83,0.0,0.03,0.02,0.4
경기도,구리,2020,20.42,37.33,0.0,0.03,0.02,0.39
경기도,구리,2021,19.08,39.17,0.0,0.03,0.02,0.34
경기도,구리,2022,17.18,31.82,0.0,0.03,0.02,0.23
경기도,군포,2015,28.06,53.58,0.0,0.02,0.03,0.48
경기도,군포,2016,28.54,50.92,0.0,0.03,0.03,0.46
경기도,군포,2017,25.6,51.08,0.0,0.03,0.03,0.42
경기도,군포,2018,26.17,45.67,0.0,0.02,0.03,0.46
경기도,군포,2019,24.67,49.83,0.0,0.03,0.03,0.48
경기도,군포,2020,20.92,37.25,0.0,0.03,0.02,0.42
경기도,군포,2021,20.5,41.58,0.0,0.03,0.02,0.45
경기도,군포,2022,18.09,34.73,0.0,0.03,0.02,0.36
경기도,김포,2015,27.25,56.17,0.0,0.03,0.02,0.52
경기도,김포,2016,32.92,60.58,0.0,0.03,0.02,0.48
경기도,김포,2017,27.25,63.25,0.0,0.03,0.02,0.42
경기도,김포,2018,23.83,42.83,0.0,0.03,0.02,0.33
경기도,김포,2019,26.0,46.67,0.0,0.03,0.02,0.39
경기도,김포,2020,22.58,40.58,0.0,0.03,0.01,0.42
경기도,김포,2021,24.58,45.17,0.0,0.03,0.02,0.41
경기도,김포,2022,21.0,35.64,0.0,0.04,0.01,0.36
경기도,남양주,2015,28.06,48.17,0.0,0.02,0.02,0.52
경기도,남양주,2016,28.54,44.83,0.0,0.02,0.02,0.5
경기도,남양주,2017,23.67,43.75,0.0,0.03,0.02,0.47
경기도,남양주,2018,23.83,41.08,0.0,0.03,0.02,0.44
경기도,남양주,2019,24.67,43.25,0.0,0.03,0.02,0.49
경기도,남양주,2020,19.75,36.08,0.0,0.03,0.02,0.42
경기도,남양주,2021,18.0,39.17,0.0,0.03,0.02,0.36
경기도,남양주,2022,17.09,32.27,0.0,0.03,0.02,0.33
경기도,동두천,2015,28.06,64.54,0.01,0.03,0.02,0.43
경기도,동두천,2016,28.54,55.5,0.0,0.03,0.02,0.48
경기도,동두천,2017,31.2,55.0,0.0,0.03,0.02,0.52
경기도,동두천,2018,24.17,42.92,0.0,0.03,0.02,0.41
경기도,동두천,2019,25.33,43.17,0.0,0.03,0.02,0.41
경기도,동두천,2020,19.0,34.25,0.0,0.03,0.01,0.41
경기도,동두천,2021,15.58,33.0,0.0,0.03,0.01,0.42
경기도,동두천,2022,14.73,29.64,0.0,0.03,0.01,0.32
경기도,부천,2015,32.09,50.75,0.01,0.02,0.03,0.54
경기도,부천,2016,26.08,58.0,0.01,0.02,0.03,0.49
경기도,부천,2017,23.25,48.92,0.01,0.03,0.03,0.48
경기도,부천,2018,27.33,48.67,0.0,0.02,0.03,0.5
경기도,부천,2019,31.58,55.0,0.0,0.02,0.03,0.53
경기도,부천,2020,25.17,45.17,0.0,0.03,0.03,0.48
경기도,부천,2021,24.67,48.25,0.0,0.03,0.02,0.46
경기도,부천,2022,19.18,35.54,0.0,0.03,0.02,0.44
경기도,성남,2015,20.42,50.67,0.0,0.02,0.04,0.6
경기도,성남,2016,23.83,46.17,0.0,0.02,0.04,0.6
경기도,성남,2017,26.08,45.25,0.0,0.03,0.03,0.57
경기도,성남,2018,24.0,42.33,0.0,0.02,0.03,0.52
경기도,성남,2019,23.08,42.75,0.0,0.02,0.03,0.57
경기도,성남,2020,19.75,37.0,0.0,0.02,0.02,0.54
경기도,성남,2021,18.33,38.92,0.0,0.03,0.02,0.52
경기도,성남,2022,17.45,32.54,0.0,0.03,0.02,0.47
경기도,수원,2015,25.0,48.33,0.0,0.02,0.03,0.62
경기도,수원,2016,25.92,52.5,0.0,0.02,0.03,0.63
경기도,수원,2017,25.75,47.83,0.0,0.03,0.03,0.59
경기도,수원,2018,23.67,41.0,0.0,0.02,0.03,0.58
경기도,수원,2019,25.25,43.17,0.0,0.02,0.03,0.6
경기도,수원,2020,20.58,38.17,0.0,0.03,0.02,0.54
경기도,수원,2021,19.25,42.75,0.0,0.03,0.02,0.52
경기도,수원,2022,17.27,35.09,0.0,0.03,0.02,0.44
경기도,시흥,2015,28.06,54.58,0.01,0.02,0.03,0.62
경기도,시흥,2016,28.54,52.42,0.01,0.03,0.03,0.62
경기도,시흥,2017,26.7,52.08,0.01,0.03,0.03,0.58
경기도,시흥,2018,28.42,48.83,0.0,0.02,0.03,0.56
경기도,시흥,2019,30.42,53.5,0.0,0.03,0.03,0.54
경기도,시흥,2020,23.5,41.17,0.0,0.03,0.02,0.49
경기도,시흥,2021,23.83,44.83,0.0,0.03,0.02,0.52
경기도,시흥,2022,21.82,38.18,0.0,0.03,0.02,0.39
경기도,안산,2015,25.67,51.92,0.0,0.03,0.03,0.52
경기도,안산,2016,28.67,51.92,0.0,0.02,0.03,0.49
경기도,안산,2017,26.67,47.92,0.0,0.03,0.03,0.48
경기도,안산,2018,24.0,41.67,0.0,0.02,0.03,0.47
경기도,안산,2019,23.58,44.5,0.0,0.03,0.03,0.51
경기도,안산,2020,18.75,37.17,0.0,0.03,0.02,0.43
경기도,안산,2021,20.08,42.75,0.0,0.03,0.02,0.41
경기도,안산,2022,18.36,35.09,0.0,0.03,0.02,0.37
경기도,안성,2015,28.06,50.09,0.0,0.02,0.01,0.41
경기도,안성,2016,41.0,50.5,0.0,0.02,0.01,0.38
경기도,안성,2017,26.17,55.42,0.0,0.03,0.02,0.38
경기도,안성,2018,29.5,48.58,0.0,0.03,0.02,0.39
경기도,안성,2019,28.0,47.08,0.0,0.03,0.02,0.51
경기도,안성,2020,24.08,40.08,0.0,0.03,0.02,0.42
경기도,안성,2021,22.67,42.75,0.0,0.03,0.01,0.47
경기도,안성,2022,22.18,37.09,0.0,0.03,0.01,0.44
경기도,안양,2015,28.06,48.17,0.0,0.02,0.03,0.51
경기도,안양,2016,26.67,50.42,0.0,0.02,0.03,0.5
