District,City,year,pm25,pm10,so2,o3,no2,co,AVG
경기도,광주,2020,22.58,40.0,0.0,0.02,0.02,0.44,84.22
경기도,구리,2015,30.67,52.18,0.0,0.03,0.03,0.5,82.63
경기도,구리,2016,33.0,59.25,0.0,0.03,0.03,0.42,82.89
경기도,구리,2017,29.58,58.17,0.0,0.03,0.03,0.41,83.63
경기도,구리,2018,23.67,42.67,0.0,0.02,0.02,0.39,84.02
경기도,구리,2019,25.33,44.83,0.0,0.03,0.02,0.4,84.4
경기도,구리,2020,20.42,37.33,0.0,0.03,0.02,0.39,85.01
경기도,군포,2015,28.06,53.58,0.0,0.02,0.03,0.48,84.25
경기도,군포,2016,28.54,50.92,0.0,0.03,0.03,0.46,84.66
경기도,군포,2017,25.6,51.08,0.0,0.03,0.03,0.42,85.15
경기도,군포,2018,26.17,45.67,0.0,0.02,0.03,0.46,85.36
경기도,군포,2019,24.67,49.83,0.0,0.03,0.03,0.48,85.57
경기도,군포,2020,20.92,37.25,0.0,0.03,0.02,0.42,85.73
경기도,김포,2015,27.25,56.17,0.0,0.03,0.02,0.52,83.26
경기도,김포,2016,32.92,60.58,0.0,0.03,0.02,0.48,83.82
경기도,김포,2017,27.25,63.25,0.0,0.03,0.02,0.42,84.23
경기도,김포,2018,23.83,42.83,0.0,0.03,0.02,0.33,84.45
경기도,김포,2019,26.0,46.67,0.0,0.03,0.02,0.39,84.77
경기도,김포,2020,22.58,40.58,0.0,0.03,0.01,0.42,84.93
경기도,남양주,2015,28.06,48.17,0.0,0.02,0.02,0.52,82.35
경기도,남양주,2016,28.54,44.83,0.0,0.02,0.02,0.5,82.93
경기도,남양주,2017,23.67,43.75,0.0,0.03,0.02,0.47,83.31
경기도,남양주,2018,23.83,41.08,0.0,0.03,0.02,0.44,83.69
경기도,남양주,2019,24.67,43.25,0.0,0.03,0.02,0.49,83.97
경기도,남양주,2020,19.75,36.08,0.0,0.03,0.02,0.42,84.32
경기도,동두천,2015,28.06,64.54,0.01,0.03,0.02,0.43,80.87
경기도,동두천,2016,28.54,55.5,0.0,0.03,0.02,0.48,81.1
경기도,동두천,2017,31.2,55.0,0.0,0.03,0.02,0.52,81.27
경기도,동두천,2018,24.17,42.92,0.0,0.03,0.02,0.41,81.41
경기도,동두천,2019,25.33,43.17,0.0,0.03,0.02,0.41,81.54
