Unnamed: 0,District,City,year,pm25,pm10,so2,o3,no2,co,AVG
172,강원도,동해,2013,23.141,43.0,0.003,0.041,0.014,0.5,80.06
173,강원도,동해,2013,18.601,32.0,0.002,0.026,0.011,0.3,80.06
174,강원도,동해,2013,17.783,29.0,0.002,0.026,0.012,0.4,80.06
175,강원도,동해,2013,19.47,32.0,0.002,0.029,0.012,0.5,80.06
176,강원도,동해,2013,18.694,28.0,0.002,0.022,0.016,0.6,80.06
177,강원도,동해,2013,19.58,29.0,0.003,0.026,0.016,0.7,80.06
178,강원도,동해,2013,23.726,33.0,0.004,0.026,0.015,1.0,80.06
179,강원도,동해,2013,25.773,40.0,0.007,0.024,0.016,0.7,80.06
180,강원도,동해,2014,27.744,44.0,0.008,0.023,0.018,0.7,80.61
181,강원도,동해,2014,27.503,44.0,0.006,0.025,0.02,0.8,80.61
182,강원도,동해,2014,31.07,57.0,0.005,0.034,0.018,0.6,80.61
183,강원도,동해,2014,28.704,54.0,0.005,0.039,0.022,0.6,80.61
184,강원도,동해,2014,28.558,57.0,0.004,0.048,0.018,0.5,80.61
185,강원도,동해,2014,19.543,36.0,0.003,0.033,0.014,0.3,80.61
186,강원도,동해,2014,20.894,35.0,0.003,0.03,0.019,0.6,80.61
187,강원도,동해,2014,19.708,31.0,0.002,0.026,0.015,0.6,80.61
188,강원도,동해,2014,18.475,28.0,0.002,0.023,0.017,0.6,80.61
189,강원도,동해,2014,21.967,36.0,0.003,0.022,0.022,0.6,80.61
190,강원도,동해,2014,23.676,37.0,0.004,0.018,0.023,0.7,80.61
191,강원도,동해,2014,23.178,36.0,0.006,0.022,0.017,0.6,80.61
192,강원도,동해,2015,25.017,39.0,0.006,0.021,0.02,0.7,80.87
193,강원도,동해,2015,35.226,64.0,0.005,0.024,0.02,0.6,80.87
194,강원도,동해,2015,35.693,66.0,0.005,0.03,0.024,0.7,80.87
195,강원도,동해,2015,27.538,51.0,0.003,0.035,0.02,0.6,80.87
196,강원도,동해,2015,26.097,52.0,0.004,0.042,0.02,0.4,80.87
197,강원도,동해,2015,20.899,38.0,0.003,0.034,0.015,0.4,80.87
198,강원도,동해,2015,15.762,26.0,0.002,0.025,0.013,0.3,80.87
199,강원도,동해,2015,20.899,36.0,0.002,0.028,0.017,0.5,80.87
200,강원도,동해,2015,13.798,19.0,0.002,0.023,0.016,0.5,80.87
201,강원도,동해,2015,16.55,24.0,0.003,0.021,0.016,0.5,80.87
202,강원도,동해,2015,21.849,34.0,0.004,0.018,0.021,0.6,80.87
