District,City,year,pm25,pm10,so2,o3,no2,co,Percentage
경기도,연천,2017,25.75,45.5,0.004,0.028,0.01,0.45,2.19
경기도,연천,2018,17.833,30.5,0.003,0.028,0.009,0.433,0.0
경기도,연천,2019,18.833,35.917,0.003,0.031,0.009,0.45,0.0
경기도,연천,2020,15.5,30.083,0.003,0.027,0.009,0.442,4.58
경기도,오산,2017,28.8,48.0,0.004,0.026,0.027,0.45,0.0
경기도,오산,2018,27.75,46.583,0.004,0.024,0.028,0.458,2.31
경기도,오산,2019,26.5,45.25,0.004,0.026,0.028,0.475,0.45
경기도,오산,2020,19.417,34.833,0.003,0.026,0.024,0.408,0.44
경기도,용인,2016,25.8,46.2,0.005,0.018,0.029,0.54,0.6
경기도,용인,2017,28.333,50.75,0.005,0.023,0.029,0.583,0.47
경기도,용인,2018,24.833,42.667,0.004,0.021,0.029,0.525,1.9
경기도,용인,2019,26.25,44.167,0.003,0.024,0.026,0.542,0.8
경기도,용인,2020,22.083,38.583,0.002,0.026,0.02,0.475,0.74
경기도,의왕,2015,27.0,46.0,0.004,0.01,0.04,0.8,0.0
경기도,의왕,2016,26.25,49.667,0.004,0.022,0.035,0.683,0.64
경기도,의왕,2017,25.583,49.417,0.004,0.025,0.033,0.625,0.64
경기도,의왕,2018,25.083,43.5,0.003,0.021,0.03,0.583,1.29
경기도,의왕,2019,26.75,44.0,0.003,0.024,0.029,0.608,0.63
경기도,의왕,2020,22.083,36.5,0.003,0.026,0.024,0.458,0.62
경기도,의정부,2015,46.0,50.0,0.004,0.01,0.032,0.75,0.23
경기도,의정부,2016,34.333,49.25,0.004,0.025,0.024,0.508,1.15
경기도,의정부,2017,25.917,54.083,0.004,0.027,0.024,0.458,0.23
경기도,의정부,2018,23.417,45.833,0.003,0.029,0.018,0.458,0.68
경기도,의정부,2019,23.5,43.0,0.004,0.028,0.025,0.567,1.33
경기도,의정부,2020,20.0,36.417,0.004,0.026,0.021,0.533,0.88
경기도,이천,2017,27.3,51.2,0.005,0.029,0.02,0.39,0.94
경기도,이천,2018,27.417,46.167,0.004,0.025,0.021,0.425,2.34
경기도,이천,2019,28.0,45.917,0.004,0.028,0.018,0.508,0.0
경기도,이천,2020,23.917,38.833,0.004,0.03,0.016,0.458,0.92
경기도,파주,2016,30.545,56.909,0.004,0.028,0.023,0.582,0.47
경기도,파주,2017,29.167,52.25,0.004,0.029,0.022,0.575,0.92
경기도,파주,2018,25.583,44.417,0.003,0.025,0.02,0.55,1.57
경기도,파주,2019,28.083,48.5,0.003,0.028,0.021,0.55,0.88
경기도,파주,2020,22.583,38.917,0.002,0.028,0.016,0.483,0.87
경기도,평택,2017,32.5,61.0,0.006,0.03,0.023,0.49,0.21
경기도,평택,2018,30.083,54.583,0.005,0.026,0.023,0.458,0.82
경기도,평택,2019,29.25,53.333,0.005,0.029,0.021,0.4,0.59
경기도,평택,2020,22.25,41.75,0.004,0.029,0.019,0.417,0.38
경기도,포천,2016,25.333,47.444,0.004,0.032,0.017,0.433,0.0
경기도,포천,2017,29.083,48.167,0.004,0.032,0.018,0.475,0.65
경기도,포천,2018,25.083,40.583,0.004,0.031,0.013,0.433,1.98
경기도,포천,2019,24.583,46.333,0.004,0.031,0.015,0.467,2.68
경기도,포천,2020,19.667,40.25,0.003,0.029,0.013,0.442,4.74
경기도,하남,2015,23.0,48.75,0.004,0.021,0.033,0.517,0.63
경기도,하남,2016,21.667,52.25,0.004,0.02,0.035,0.517,1.06
경기도,하남,2017,25.75,51.167,0.004,0.025,0.036,0.483,1.35
경기도,하남,2018,21.75,48.417,0.004,0.021,0.032,0.458,0.0
경기도,하남,2019,20.5,44.5,0.004,0.024,0.03,0.492,0.0
경기도,하남,2020,16.083,34.083,0.002,0.023,0.025,0.442,0.71
경기도,화성,2017,24.1,54.9,0.004,0.026,0.02,0.38,0.9
경기도,화성,2018,26.583,46.417,0.004,0.026,0.02,0.433,0.97
경기도,화성,2019,28.583,47.667,0.005,0.03,0.018,0.467,1.14
경기도,화성,2020,22.5,39.167,0.004,0.031,0.017,0.45,0.6
