City,pm25,pm10,o3,no2,so2,co,Cluster,District_강원도,District_경기도,District_경상남도,District_경상북도,District_광주광역시,District_대구광역시,District_대전광역시,District_부산광역시,District_서울특별시,District_세종특별자치시,District_울산광역시,District_인천광역시,District_전라남도,District_전라북도,District_제주특별자치도,District_충청남도,District_충청북도
남양주,10.441,45.439,0.025,0.024,0.003,0.508,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
남원,11.195,45.079,0.028,0.013,0.003,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남원,11.195,45.079,0.028,0.013,0.003,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남원,11.195,45.079,0.028,0.013,0.003,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남원,11.195,45.079,0.028,0.013,0.003,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
남원,11.195,45.079,0.028,0.013,0.003,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
논산,8.165,30.304,0.019,0.012,0.003,0.371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
논산,8.165,30.304,0.019,0.012,0.003,0.371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
논산,8.165,30.304,0.019,0.012,0.003,0.371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
논산,8.165,30.304,0.019,0.012,0.003,0.371,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
당진,13.842,45.676,0.032,0.013,0.004,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
당진,13.842,45.676,0.032,0.013,0.004,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
당진,13.842,45.676,0.032,0.013,0.004,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
당진,13.842,45.676,0.032,0.013,0.004,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
당진,13.842,45.676,0.032,0.013,0.004,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대구광역시,12.622,43.106,0.026,0.021,0.004,0.449,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
대전광역시,12.188,41.924,0.025,0.02,0.003,0.459,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
동두천,11.033,57.317,0.027,0.019,0.006,0.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,11.033,57.317,0.027,0.019,0.006,0.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,11.033,57.317,0.027,0.019,0.006,0.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동두천,11.033,57.317,0.027,0.019,0.006,0.48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동해,9.617,36.606,0.029,0.017,0.003,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동해,9.617,36.606,0.029,0.017,0.003,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동해,9.617,36.606,0.029,0.017,0.003,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동해,9.617,36.606,0.029,0.017,0.003,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
동해,9.617,36.606,0.029,0.017,0.003,0.536,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
목포,10.504,38.023,0.032,0.015,0.004,0.545,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
문경,6.502,32.215,0.022,0.012,0.004,0.369,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
밀양,10.051,35.058,0.025,0.015,0.003,0.335,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
밀양,10.051,35.058,0.025,0.015,0.003,0.335,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
밀양,10.051,35.058,0.025,0.015,0.003,0.335,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
보령,8.506,28.925,0.021,0.011,0.003,0.353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
보령,8.506,28.925,0.021,0.011,0.003,0.353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
보령,8.506,28.925,0.021,0.011,0.003,0.353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
보령,8.506,28.925,0.021,0.011,0.003,0.353,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
부산광역시,12.852,43.439,0.029,0.02,0.006,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
부산광역시,12.852,43.439,0.029,0.02,0.006,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
부산광역시,12.852,43.439,0.029,0.02,0.006,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
부산광역시,12.852,43.439,0.029,0.02,0.006,0.384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
