District,City,year,pm25,pm10,so2,o3,no2,co
경기도,동두천,2021,15.583,33.0,0.004,0.03,0.014,0.417
경기도,동두천,2022,14.727,29.636,0.003,0.03,0.012,0.318
경기도,부천,2015,32.091,50.75,0.006,0.024,0.029,0.542
경기도,부천,2016,26.083,58.0,0.006,0.024,0.029,0.492
경기도,부천,2017,23.25,48.917,0.006,0.026,0.029,0.483
경기도,부천,2018,27.333,48.667,0.004,0.022,0.027,0.5
경기도,부천,2019,31.583,55.0,0.005,0.025,0.028,0.533
경기도,부천,2020,25.167,45.167,0.004,0.026,0.026,0.483
경기도,부천,2021,24.667,48.25,0.003,0.028,0.025,0.458
경기도,부천,2022,19.182,35.545,0.002,0.029,0.022,0.445
경기도,성남,2015,20.417,50.667,0.005,0.021,0.036,0.6
경기도,성남,2016,23.833,46.167,0.004,0.022,0.035,0.6
경기도,성남,2017,26.083,45.25,0.004,0.026,0.032,0.567
경기도,성남,2018,24.0,42.333,0.004,0.023,0.031,0.517
경기도,성남,2019,23.083,42.75,0.003,0.024,0.03,0.575
경기도,성남,2020,19.75,37.0,0.002,0.025,0.025,0.542
경기도,성남,2021,18.333,38.917,0.002,0.028,0.023,0.525
경기도,성남,2022,17.455,32.545,0.002,0.03,0.02,0.473
경기도,수원,2015,25.0,48.333,0.005,0.023,0.034,0.625
경기도,수원,2016,25.917,52.5,0.004,0.023,0.032,0.633
경기도,수원,2017,25.75,47.833,0.004,0.027,0.032,0.592
경기도,수원,2018,23.667,41.0,0.003,0.023,0.03,0.583
경기도,수원,2019,25.25,43.167,0.003,0.025,0.029,0.6
경기도,수원,2020,20.583,38.167,0.003,0.026,0.025,0.542
경기도,수원,2021,19.25,42.75,0.002,0.029,0.024,0.517
경기도,수원,2022,17.273,35.091,0.002,0.03,0.022,0.445
경기도,시흥,2015,,54.583,0.007,0.025,0.034,0.617
경기도,시흥,2016,,52.417,0.007,0.027,0.034,0.617
경기도,시흥,2017,26.7,52.083,0.007,0.029,0.032,0.583
경기도,시흥,2018,28.417,48.833,0.005,0.024,0.03,0.558
경기도,시흥,2019,30.417,53.5,0.004,0.027,0.029,0.542
경기도,시흥,2020,23.5,41.167,0.004,0.028,0.024,0.492
경기도,시흥,2021,23.833,44.833,0.003,0.029,0.023,0.517
경기도,시흥,2022,21.818,38.182,0.003,0.029,0.021,0.391
경기도,안산,2015,25.667,51.917,0.005,0.026,0.031,0.525
경기도,안산,2016,28.667,51.917,0.005,0.025,0.03,0.492
경기도,안산,2017,26.667,47.917,0.005,0.028,0.027,0.483
경기도,안산,2018,24.0,41.667,0.005,0.025,0.026,0.467
경기도,안산,2019,23.583,44.5,0.004,0.027,0.026,0.508
경기도,안산,2020,18.75,37.167,0.003,0.027,0.023,0.433
경기도,안산,2021,20.083,42.75,0.003,0.029,0.022,0.408
경기도,안산,2022,18.364,35.091,0.003,0.03,0.02,0.373
경기도,안성,2015,,50.091,0.004,0.025,0.014,0.408
경기도,안성,2016,41.0,50.5,0.004,0.025,0.014,0.383
경기도,안성,2017,26.167,55.417,0.004,0.027,0.018,0.375
경기도,안성,2018,29.5,48.583,0.003,0.026,0.016,0.392
경기도,안성,2019,28.0,47.083,0.003,0.032,0.018,0.508
경기도,안성,2020,24.083,40.083,0.002,0.03,0.015,0.425
경기도,안성,2021,22.667,42.75,0.002,0.031,0.013,0.467
경기도,안성,2022,22.182,37.091,0.002,0.032,0.013,0.445
경기도,안양,2015,,48.167,0.005,0.021,0.034,0.508
경기도,안양,2016,26.667,50.417,0.004,0.024,0.03,0.5
경기도,안양,2017,23.75,49.333,0.004,0.026,0.03,0.525
경기도,안양,2018,26.833,46.917,0.004,0.022,0.031,0.508
경기도,안양,2019,24.5,47.833,0.004,0.024,0.029,0.533
경기도,안양,2020,21.917,40.583,0.003,0.026,0.025,0.533
경기도,안양,2021,19.5,43.833,0.003,0.027,0.024,0.483
경기도,안양,2022,19.909,34.273,0.002,0.031,0.02,0.382
경기도,양주,2015,,54.273,0.005,0.032,0.016,0.492
경기도,양주,2016,,52.5,0.004,0.03,0.017,0.492
경기도,양주,2017,29.2,52.917,0.004,0.031,0.017,0.475
경기도,양주,2018,26.5,46.417,0.004,0.032,0.013,0.392
경기도,양주,2019,26.083,44.417,0.003,0.031,0.017,0.417
경기도,양주,2020,20.0,35.25,0.003,0.029,0.015,0.408
경기도,양주,2021,19.667,37.583,0.004,0.03,0.015,0.425
경기도,양주,2022,18.636,31.273,0.002,0.032,0.013,0.327
경기도,양평,2015,23.5,47.0,0.003,0.027,0.016,0.483
경기도,양평,2016,23.75,46.583,0.003,0.028,0.016,0.517
경기도,양평,2017,26.333,45.667,0.003,0.027,0.016,0.458
경기도,양평,2018,23.083,39.5,0.003,0.026,0.015,0.442
경기도,양평,2019,23.167,41.5,0.002,0.027,0.014,0.475
경기도,양평,2020,20.333,36.333,0.002,0.027,0.014,0.467
경기도,양평,2021,19.667,39.25,0.002,0.027,0.013,0.467
경기도,양평,2022,18.364,30.364,0.002,0.031,0.01,0.391
경기도,여주,2015,,57.364,0.005,0.025,0.016,0.467
경기도,여주,2016,35.5,53.583,0.005,0.027,0.021,0.517
경기도,여주,2017,28.417,56.833,0.004,0.026,0.021,0.483
경기도,여주,2018,24.667,43.917,0.004,0.025,0.019,0.508
경기도,여주,2019,31.273,45.417,0.004,0.026,0.019,0.517
경기도,여주,2020,24.75,39.0,0.004,0.029,0.014,0.467
경기도,여주,2021,23.5,44.167,0.003,0.029,0.013,0.392
경기도,여주,2022,22.364,37.909,0.002,0.031,0.013,0.318
경기도,연천,2015,,48.818,0.004,0.03,0.009,0.417
경기도,연천,2016,32.0,46.75,0.004,0.028,0.01,0.4
경기도,연천,2017,25.75,45.5,0.004,0.028,0.01,0.45
경기도,연천,2018,17.833,30.5,0.003,0.028,0.009,0.433
경기도,연천,2019,18.833,35.917,0.003,0.031,0.009,0.45
경기도,연천,2020,15.5,30.083,0.003,0.027,0.009,0.442
경기도,연천,2021,18.417,34.083,0.003,0.028,0.008,0.467
경기도,연천,2022,13.909,23.167,0.002,0.028,0.007,0.391
경기도,오산,2015,,53.0,0.004,0.025,0.03,0.542
경기도,오산,2016,,53.417,0.004,0.025,0.03,0.483
경기도,오산,2017,28.8,49.0,0.004,0.026,0.029,0.483
경기도,오산,2018,27.75,46.583,0.004,0.024,0.028,0.458
경기도,오산,2019,26.5,45.25,0.004,0.026,0.028,0.475
경기도,오산,2020,19.417,34.833,0.003,0.026,0.024,0.408
경기도,오산,2021,18.917,41.083,0.003,0.028,0.025,0.433
경기도,오산,2022,20.091,37.0,0.003,0.03,0.023,0.327
경기도,용인,2015,,54.333,0.005,0.022,0.033,0.625
경기도,용인,2016,25.8,49.333,0.005,0.021,0.03,0.558
경기도,용인,2017,28.333,50.75,0.005,0.023,0.029,0.583
경기도,용인,2018,24.833,42.667,0.004,0.021,0.029,0.525
