시도,시군구,2020,2019,2018,2017,2016,2015
전라북도,전주시 완산구,0.29,1.17,0.28,0.83,0.55,0.55
전라북도,전주시 덕진구,0.32,0.64,0.67,1.03,0.0,0.7
전라북도,군산시,0.0,1.11,0.37,0.36,0.0,0.36
전라북도,익산시,1.05,2.41,1.35,1.0,0.33,0.0
전라북도,정읍시,0.91,0.0,0.0,0.87,0.87,0.0
전라북도,남원시,0.0,1.22,1.21,2.39,2.37,0.0
전라북도,김제시,1.2,2.36,1.16,0.0,0.0,1.12
전라북도,완주군,0.0,1.07,0.0,0.0,1.05,0.0
전라북도,진안군,0.0,0.0,0.0,3.82,0.0,0.0
전라북도,무주군,0.0,0.0,0.0,8.04,0.0,0.0
전라북도,장수군,0.0,0.0,4.33,0.0,4.26,0.0
전라북도,임실군,0.0,0.0,3.32,3.31,0.0,0.0
전라북도,순창군,0.0,6.95,0.0,3.35,0.0,0.0
전라북도,고창군,1.82,3.55,3.4,0.0,0.0,0.0
전라북도,부안군,1.9,0.0,0.0,1.77,1.76,0.0
전라남도,전라남도,0.59,0.69,1.01,0.63,0.68,0.21
전라남도,목포시,0.88,0.0,1.71,0.85,2.52,0.42
전라남도,여수시,0.71,0.71,0.35,0.0,0.0,0.0
전라남도,순천시,0.0,0.0,0.72,0.72,0.72,0.36
전라남도,나주시,0.87,0.88,0.0,0.0,0.0,0.0
전라남도,광양시,0.0,0.0,0.0,0.64,0.0,0.0
전라남도,담양군,2.15,0.0,2.12,2.12,0.0,0.0
전라남도,곡성군,0.0,0.0,3.35,0.0,0.0,0.0
전라남도,구례군,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,고흥군,0.0,0.0,0.0,0.0,0.0,0.0
전라남도,보성군,2.44,2.37,0.0,0.0,0.0,0.0
전라남도,화순군,0.0,0.0,1.56,1.54,0.0,0.0
전라남도,장흥군,0.0,0.0,2.52,0.0,0.0,0.0
전라남도,강진군,0.0,0.0,0.0,2.68,0.0,0.0
전라남도,해남군,0.0,2.81,1.37,1.34,0.0,0.0
전라남도,영암군,1.85,3.66,1.81,3.55,0.0,0.0
전라남도,무안군,1.2,1.23,0.0,1.21,1.22,0.0
전라남도,함평군,0.0,6.03,0.0,0.0,2.89,0.0
전라남도,영광군,1.87,0.0,3.67,0.0,1.79,0.0
전라남도,장성군,0.0,0.0,2.18,0.0,0.0,0.0
전라남도,완도군,0.0,1.96,1.93,0.0,0.0,1.88
전라남도,진도군,3.23,0.0,6.35,0.0,0.0,0.0
전라남도,신안군,0.0,2.45,0.0,0.0,4.65,2.3
경상북도,경상북도,0.72,0.64,1.27,0.67,0.78,0.44
경상북도,포항시,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,포항시 남구,0.86,0.84,0.83,0.82,1.63,0.81
경상북도,포항시 북구,1.47,0.0,2.21,1.47,0.37,0.37
경상북도,경주시,1.18,0.0,1.94,1.16,2.31,0.38
경상북도,김천시,0.71,0.71,0.7,0.0,0.71,0.0
경상북도,안동시,0.63,0.0,1.22,0.6,0.0,0.59
경상북도,구미시,0.24,0.48,0.71,0.71,0.24,0.24
경상북도,구미시 구미,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,구미시 선산,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,영주시,0.96,2.83,0.0,0.0,0.91,0.91
경상북도,영천시,0.0,0.0,0.99,0.0,0.99,0.99
경상북도,상주시,1.01,0.0,0.99,0.0,1.96,0.0
경상북도,문경시,1.39,0.0,1.38,1.35,1.33,1.32
경상북도,경산시,0.76,0.38,1.54,0.39,0.0,0.0
경상북도,군위군,0.0,0.0,4.16,0.0,0.0,0.0
경상북도,의성군,0.0,0.0,0.0,1.86,0.0,0.0
경상북도,청송군,3.96,3.91,0.0,0.0,0.0,3.79
경상북도,영양군,0.0,0.0,5.74,0.0,0.0,0.0
경상북도,영덕군,0.0,5.3,5.22,2.58,0.0,0.0
경상북도,청도군,0.0,2.33,0.0,0.0,0.0,0.0
경상북도,고령군,0.0,0.0,0.0,0.0,0.0,0.0
경상북도,성주군,0.0,0.0,2.23,2.21,0.0,0.0
경상북도,칠곡군,0.0,0.85,1.67,0.0,0.81,0.0
경상북도,예천군,0.0,3.69,0.0,0.0,0.0,0.0
경상북도,봉화군,0.0,0.0,0.0,0.0,0.0,2.95
경상북도,울진군,2.04,2.01,1.98,0.0,3.86,1.92
경상북도,울릉군,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,경상남도,0.42,0.89,1.21,1.39,1.25,0.89
경상남도,창원시,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,마산시,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,진주시,1.15,0.87,1.44,2.31,2.03,0.88
경상남도,진해시,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,통영시,0.0,0.0,1.48,1.46,0.0,0.0
경상남도,사천시,0.9,2.66,1.75,0.87,0.0,0.86
경상남도,김해시,0.18,0.56,0.38,0.94,1.13,0.57
경상남도,밀양시,0.0,0.0,2.8,1.85,0.92,0.0
경상남도,거제시,0.0,0.8,0.79,1.56,0.0,0.4
경상남도,양산시,0.0,0.57,0.0,1.53,0.97,1.01
경상남도,통합창원시,0.0,0.0,0.0,0.0,0.0,0.0
경상남도,통합창원시 의창구,0.77,0.39,1.19,0.0,0.39,0.78
